case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
bc-heap-overflow,1,anthropic-claude-sonnet-4-5,ok,207.166,36,13774,True,True,True,,True
berry-1,1,anthropic-claude-sonnet-4-5,ok,89.895,34,5327,True,True,True,,True
berry-2,1,anthropic-claude-sonnet-4-5,ok,94.323,32,6975,True,True,True,,True
berry-3,1,anthropic-claude-sonnet-4-5,ok,389.394,54,53088,True,True,True,,True
berry-4,1,anthropic-claude-sonnet-4-5,ok,77.293,18,7278,True,True,True,,True
berry-5,1,anthropic-claude-sonnet-4-5,ok,107.518,26,6863,True,True,True,,True
crashbench-abo2,1,anthropic-claude-sonnet-4-5,ok,58.05,7,2698,True,True,True,,True
crashbench-abo8,1,anthropic-claude-sonnet-4-5,ok,38.234,7,2943,True,True,True,,True
man-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,1,google-gemini-2-5-flash,ok,59.347,23,21249,True,True,True,,True
crashbench-abo1,1,google-gemini-2-5-flash,ok,7.616,4,2404,True,True,True,,True
crashbench-abo2,1,google-gemini-2-5-flash,ok,8.59,5,2156,True,True,True,,True
crashbench-abo3,1,google-gemini-2-5-flash,ok,9.008,4,1916,True,True,True,,True
crashbench-abo5,1,google-gemini-2-5-flash,ok,8.595,4,2917,True,True,True,,True
crashbench-abo7,1,google-gemini-2-5-flash,ok,9.628,4,2601,True,True,True,,True
crashbench-abo8,1,google-gemini-2-5-flash,ok,10.118,4,1799,True,True,True,,True
juliet-cwe121-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,15.2,6,3918,True,True,True,,True
juliet-cwe122-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,10.741,6,4140,True,True,True,,True
juliet-cwe126-char-alloca-loop-01,1,google-gemini-2-5-flash,ok,8.414,4,2525,True,True,True,,True
juliet-cwe415-malloc-free-char-01,1,google-gemini-2-5-flash,ok,6.951,4,1896,True,True,True,,True
juliet-cwe416-malloc-free-char-01,1,google-gemini-2-5-flash,ok,10.388,4,2047,True,True,True,,True
man-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,1,google-gemini-3-1-flash-lite-preview,ok,12.743,13,1210,True,True,True,recovered_from_tool_output,True
berry-1,1,google-gemini-3-1-flash-lite-preview,ok,16.574,18,752,True,True,True,recovered_from_tool_output,True
berry-2,1,google-gemini-3-1-flash-lite-preview,ok,52.094,54,0,False,False,False,,True
berry-3,1,google-gemini-3-1-flash-lite-preview,ok,11.898,13,0,False,False,False,,True
berry-4,1,google-gemini-3-1-flash-lite-preview,ok,10.62,10,0,False,False,False,,True
berry-5,1,google-gemini-3-1-flash-lite-preview,ok,24.409,24,943,True,True,True,,True
man-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,1,meta-llama-llama-3-1-8b-instruct,ok,53.685,99,0,False,False,False,,True
crashbench-abo1,1,meta-llama-llama-3-1-8b-instruct,ok,4.392,4,0,False,False,False,,True
crashbench-abo2,1,meta-llama-llama-3-1-8b-instruct,ok,3.919,4,0,False,False,False,,True
crashbench-abo3,1,meta-llama-llama-3-1-8b-instruct,ok,4.024,4,0,False,False,False,,True
crashbench-abo5,1,meta-llama-llama-3-1-8b-instruct,ok,529.917,179,0,False,False,False,,True
crashbench-abo7,1,meta-llama-llama-3-1-8b-instruct,ok,4.187,4,0,False,False,False,,True
crashbench-abo8,1,meta-llama-llama-3-1-8b-instruct,ok,5.8,6,0,False,False,False,,True
juliet-cwe121-char-type-overrun-memcpy-01,1,meta-llama-llama-3-1-8b-instruct,ok,11.972,6,0,False,False,False,,True
juliet-cwe122-char-type-overrun-memcpy-01,1,meta-llama-llama-3-1-8b-instruct,ok,14.621,7,0,False,False,False,,True
juliet-cwe126-char-alloca-loop-01,1,meta-llama-llama-3-1-8b-instruct,ok,12.498,6,0,False,False,False,,True
juliet-cwe415-malloc-free-char-01,1,meta-llama-llama-3-1-8b-instruct,ok,13.024,6,0,False,False,False,,True
juliet-cwe416-malloc-free-char-01,1,meta-llama-llama-3-1-8b-instruct,ok,9.361,5,0,False,False,False,,True
man-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.063,,0,False,False,False,,False
berry-1,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.054,,0,False,False,False,,False
berry-2,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.066,,0,False,False,False,,False
berry-3,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.109,,0,False,False,False,,False
berry-4,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.097,,0,False,False,False,,False
berry-5,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.032,,0,False,False,False,,False
crashbench-abo2,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.071,,0,False,False,False,,False
crashbench-abo3,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.095,,0,False,False,False,,False
crashbench-abo5,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.103,,0,False,False,False,,False
crashbench-abo7,1,nvidia-nemotron-3-nano-30b-a3b,timeout,600.069,,0,False,False,False,,False
man-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
crashbench-abo1,1,openai-gpt-4o,timeout,600.064,,0,False,False,False,,False
crashbench-abo2,1,openai-gpt-4o,timeout,600.113,,0,False,False,False,,False
crashbench-abo3,1,openai-gpt-4o,timeout,600.019,,0,False,False,False,,False
crashbench-abo5,1,openai-gpt-4o,ok,194.907,5,1277,True,True,True,,True
crashbench-abo7,1,openai-gpt-4o,ok,541.863,4,706,False,False,False,,True
crashbench-abo8,1,openai-gpt-4o,timeout,600.029,,0,False,False,False,,False
juliet-cwe121-char-type-overrun-memcpy-01,1,openai-gpt-4o,ok,15.271,4,1601,True,True,True,,True
juliet-cwe122-char-type-overrun-memcpy-01,1,openai-gpt-4o,timeout,600.019,,0,False,False,False,,False
juliet-cwe126-char-alloca-loop-01,1,openai-gpt-4o,timeout,600.108,,0,False,False,False,,False
juliet-cwe415-malloc-free-char-01,1,openai-gpt-4o,ok,375.118,4,1488,True,True,True,,True
juliet-cwe416-malloc-free-char-01,1,openai-gpt-4o,timeout,600.041,,0,False,False,False,,False
ncompress-overflow,1,openai-gpt-4o,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,1,openai-gpt-5-5,ok,173.629,12,5363,True,True,True,,True
crashbench-abo3,1,openai-gpt-5-5,ok,27.688,5,2332,True,True,True,,True
man-overflow,1,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
berry-5,1,qwen-qwen3-30b-a3b-instruct-2507,timeout,600.107,,0,False,False,False,,False
crashbench-abo3,1,qwen-qwen3-30b-a3b-instruct-2507,ok,33.573,5,0,False,False,False,,True
crashbench-abo5,1,qwen-qwen3-30b-a3b-instruct-2507,ok,59.055,8,0,False,False,False,,True
juliet-cwe415-malloc-free-char-01,1,qwen-qwen3-30b-a3b-instruct-2507,ok,79.016,4,2185,True,True,True,,True
ncompress-overflow,1,qwen-qwen3-30b-a3b-instruct-2507,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,3,anthropic-claude-sonnet-4-5,error,,,0,False,False,False,,False
berry-1,3,anthropic-claude-sonnet-4-5,ok,155.684,38,8057,True,True,True,,True
berry-2,3,anthropic-claude-sonnet-4-5,no_collect,155.887,,0,False,False,False,,False
berry-3,3,anthropic-claude-sonnet-4-5,no_collect,536.907,,0,False,False,False,,False
berry-4,3,anthropic-claude-sonnet-4-5,ok,536.736,65,67937,True,True,True,,True
berry-5,3,anthropic-claude-sonnet-4-5,ok,425.869,124,12358,True,True,True,,True
man-overflow,3,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,3,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,3,google-gemini-2-5-flash,error,,,0,False,False,False,,False
berry-1,3,google-gemini-2-5-flash,ok,82.454,27,10273,True,True,True,,True
crashbench-abo1,3,google-gemini-2-5-flash,no_collect,0.238,,0,False,False,False,,False
crashbench-abo2,3,google-gemini-2-5-flash,no_collect,0.222,,0,False,False,False,,False
crashbench-abo3,3,google-gemini-2-5-flash,no_collect,0.227,,0,False,False,False,,False
crashbench-abo5,3,google-gemini-2-5-flash,no_collect,0.221,,0,False,False,False,,False
crashbench-abo7,3,google-gemini-2-5-flash,no_collect,0.286,,0,False,False,False,,False
crashbench-abo8,3,google-gemini-2-5-flash,no_collect,0.271,,0,False,False,False,,False
juliet-cwe121-char-type-overrun-memcpy-01,3,google-gemini-2-5-flash,no_collect,0.353,,0,False,False,False,,False
juliet-cwe122-char-type-overrun-memcpy-01,3,google-gemini-2-5-flash,no_collect,0.34,,0,False,False,False,,False
juliet-cwe126-char-alloca-loop-01,3,google-gemini-2-5-flash,no_collect,0.176,,0,False,False,False,,False
juliet-cwe415-malloc-free-char-01,3,google-gemini-2-5-flash,no_collect,0.209,,0,False,False,False,,False
juliet-cwe416-malloc-free-char-01,3,google-gemini-2-5-flash,no_collect,0.238,,0,False,False,False,,False
man-overflow,3,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,3,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,3,google-gemini-3-1-flash-lite-preview,error,,,0,False,False,False,,False
berry-1,3,google-gemini-3-1-flash-lite-preview,timeout,600.074,,0,False,False,False,,False
berry-2,3,google-gemini-3-1-flash-lite-preview,timeout,600.05,,0,False,False,False,,False
berry-3,3,google-gemini-3-1-flash-lite-preview,timeout,600.045,,0,False,False,False,,False
berry-4,3,google-gemini-3-1-flash-lite-preview,timeout,600.085,,0,False,False,False,,False
berry-5,3,google-gemini-3-1-flash-lite-preview,timeout,600.07,,0,False,False,False,,False
man-overflow,3,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,3,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
crashbench-abo1,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.209,,0,False,False,False,,False
crashbench-abo2,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.202,,0,False,False,False,,False
crashbench-abo3,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.206,,0,False,False,False,,False
crashbench-abo5,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.211,,0,False,False,False,,False
crashbench-abo7,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.263,,0,False,False,False,,False
crashbench-abo8,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.261,,0,False,False,False,,False
juliet-cwe121-char-type-overrun-memcpy-01,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.323,,0,False,False,False,,False
juliet-cwe122-char-type-overrun-memcpy-01,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.322,,0,False,False,False,,False
juliet-cwe126-char-alloca-loop-01,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.169,,0,False,False,False,,False
juliet-cwe415-malloc-free-char-01,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.17,,0,False,False,False,,False
juliet-cwe416-malloc-free-char-01,3,meta-llama-llama-3-1-8b-instruct,no_collect,0.205,,0,False,False,False,,False
man-overflow,3,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
berry-2,3,nvidia-nemotron-3-nano-30b-a3b,ok,78.212,0,0,False,False,False,,True
berry-3,3,nvidia-nemotron-3-nano-30b-a3b,no_collect,78.387,,0,False,False,False,,False
berry-4,3,nvidia-nemotron-3-nano-30b-a3b,ok,139.602,7,35,False,False,False,,True
man-overflow,3,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
crashbench-abo1,3,openai-gpt-4o,no_collect,0.213,,0,False,False,False,,False
crashbench-abo2,3,openai-gpt-4o,no_collect,0.21,,0,False,False,False,,False
crashbench-abo3,3,openai-gpt-4o,no_collect,0.211,,0,False,False,False,,False
crashbench-abo5,3,openai-gpt-4o,no_collect,0.208,,0,False,False,False,,False
crashbench-abo7,3,openai-gpt-4o,no_collect,0.267,,0,False,False,False,,False
crashbench-abo8,3,openai-gpt-4o,no_collect,0.268,,0,False,False,False,,False
juliet-cwe121-char-type-overrun-memcpy-01,3,openai-gpt-4o,no_collect,0.318,,0,False,False,False,,False
juliet-cwe122-char-type-overrun-memcpy-01,3,openai-gpt-4o,no_collect,0.32,,0,False,False,False,,False
juliet-cwe126-char-alloca-loop-01,3,openai-gpt-4o,no_collect,0.172,,0,False,False,False,,False
juliet-cwe415-malloc-free-char-01,3,openai-gpt-4o,no_collect,0.173,,0,False,False,False,,False
juliet-cwe416-malloc-free-char-01,3,openai-gpt-4o,no_collect,0.207,,0,False,False,False,,False
man-overflow,3,openai-gpt-4o,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,openai-gpt-4o,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,3,openai-gpt-5-5,error,,,0,False,False,False,,False
berry-1,3,openai-gpt-5-5,timeout,600.004,,0,False,False,False,,False
berry-2,3,openai-gpt-5-5,timeout,600.008,,0,False,False,False,,False
berry-3,3,openai-gpt-5-5,timeout,600.009,,0,False,False,False,,False
berry-5,3,openai-gpt-5-5,timeout,600.008,,0,False,False,False,,False
man-overflow,3,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,3,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,3,qwen-qwen3-30b-a3b-instruct-2507,error,,,0,False,False,False,,False
man-overflow,3,qwen-qwen3-30b-a3b-instruct-2507,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,3,qwen-qwen3-30b-a3b-instruct-2507,build_failed,0.0,,0,False,False,False,,False
