bug,tier,model,status,exit_code,elapsed_s,has_collect,rc,lf,gf,judged
berry-1,tier1,openrouter_google_gemini-2.5-flash,ok,0,13.094,True,1,1,0,True
berry-1,tier1,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,14.391,True,0,0,0,True
berry-1,tier1,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.113,True,0,0,0,True
berry-1,tier1,openrouter_openai_gpt-4o,ok,0,79.317,True,0,0,0,True
berry-1,tier1,openrouter_openai_gpt-5.5,ok,0,43.86,True,1,1,1,True
berry-1,tier1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,48.186,True,1,1,0,True
berry-1,tier2,openrouter_google_gemini-2.5-flash,ok,0,35.598,True,0,0,0,True
berry-1,tier2,openrouter_meta-llama_llama-3.1-8b-instruct,timeout,-1,600.056,False,0,0,0,True
berry-1,tier2,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.065,False,0,0,0,True
berry-1,tier2,openrouter_openai_gpt-4o,ok,0,171.108,True,0,0,0,True
berry-1,tier2,openrouter_openai_gpt-5.5,ok,0,88.417,True,1,1,1,True
berry-1,tier2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,timeout,-1,600.116,False,0,0,0,True
berry-1,tier3,openrouter_google_gemini-2.5-flash,no_collect,0,19.569,False,0,0,0,True
berry-1,tier3,openrouter_meta-llama_llama-3.1-8b-instruct,no_collect,-9,20.464,False,0,0,0,True
berry-1,tier3,openrouter_nvidia_nemotron-3-nano-30b-a3b,no_collect,-9,19.85,False,0,0,0,True
berry-1,tier3,openrouter_openai_gpt-4o,ok,0,18.408,True,0,0,0,True
berry-1,tier3,openrouter_openai_gpt-5.5,timeout,-1,600.011,False,0,0,0,True
berry-1,tier3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,57.701,True,0,0,0,True
berry-1,tier4,openrouter_anthropic_claude-haiku-4.5,ok,0,53.211,True,1,1,1,True
berry-1,tier4,openrouter_anthropic_claude-opus-4.7,ok,0,36.263,True,1,1,1,True
berry-1,tier4,openrouter_anthropic_claude-sonnet-4.6,ok,0,30.797,True,1,1,0,True
berry-2,tier1,openrouter_google_gemini-2.5-flash,ok,0,19.134,True,0,0,0,True
berry-2,tier1,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,16.359,True,0,0,0,True
berry-2,tier1,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.097,True,0,0,0,True
berry-2,tier1,openrouter_openai_gpt-4o,ok,0,25.079,True,0,0,0,True
berry-2,tier1,openrouter_openai_gpt-5.5,ok,0,107.96,True,0,0,0,True
berry-2,tier1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,439.922,True,0,0,0,True
berry-2,tier2,openrouter_google_gemini-2.5-flash,ok,0,89.191,True,0,0,0,True
berry-2,tier2,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,262.189,True,0,0,0,True
berry-2,tier2,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.109,False,0,0,0,True
berry-2,tier2,openrouter_openai_gpt-4o,ok,0,86.968,True,0,0,0,True
berry-2,tier2,openrouter_openai_gpt-5.5,ok,0,96.185,True,0,0,0,True
berry-2,tier2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,timeout,-1,600.116,False,0,0,0,True
berry-2,tier3,openrouter_google_gemini-2.5-flash,ok,0,20.157,True,0,0,0,True
berry-2,tier3,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,10.921,True,0,0,0,True
berry-2,tier3,openrouter_nvidia_nemotron-3-nano-30b-a3b,no_collect,-9,20.497,False,0,0,0,True
berry-2,tier3,openrouter_openai_gpt-4o,ok,0,18.322,True,0,0,0,True
berry-2,tier3,openrouter_openai_gpt-5.5,timeout,-1,600.004,False,0,0,0,True
berry-2,tier3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,172.924,True,0,0,0,True
berry-2,tier4,openrouter_anthropic_claude-haiku-4.5,ok,0,188.41,True,0,0,0,True
berry-2,tier4,openrouter_anthropic_claude-opus-4.7,ok,0,66.005,True,0,0,0,True
berry-2,tier4,openrouter_anthropic_claude-sonnet-4.6,ok,0,145.848,True,0,0,0,True
berry-3,tier1,openrouter_google_gemini-2.5-flash,ok,0,18.255,True,0,0,0,True
berry-3,tier1,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,22.047,True,0,0,0,True
berry-3,tier1,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.112,True,0,0,0,True
berry-3,tier1,openrouter_openai_gpt-4o,ok,0,44.09,True,0,0,0,True
berry-3,tier1,openrouter_openai_gpt-5.5,ok,0,116.219,True,1,1,1,True
berry-3,tier1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,235.023,True,0,0,0,True
berry-3,tier2,openrouter_google_gemini-2.5-flash,ok,0,45.249,True,0,0,0,True
berry-3,tier2,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,18.766,True,0,0,0,True
berry-3,tier2,openrouter_nvidia_nemotron-3-nano-30b-a3b,ok,0,542.153,True,0,0,0,True
berry-3,tier2,openrouter_openai_gpt-4o,ok,0,105.09,True,0,0,0,True
berry-3,tier2,openrouter_openai_gpt-5.5,ok,0,113.093,True,1,1,1,True
berry-3,tier2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,timeout,-1,600.116,False,0,0,0,True
berry-3,tier3,openrouter_google_gemini-2.5-flash,ok,0,72.588,True,0,0,0,True
berry-3,tier3,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,7.201,True,0,0,0,True
berry-3,tier3,openrouter_nvidia_nemotron-3-nano-30b-a3b,no_collect,-9,72.77,False,0,0,0,True
berry-3,tier3,openrouter_openai_gpt-4o,ok,0,18.572,True,0,0,0,True
berry-3,tier3,openrouter_openai_gpt-5.5,timeout,-1,600.005,False,0,0,0,True
berry-3,tier3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,136.704,True,0,0,0,True
berry-3,tier4,openrouter_anthropic_claude-haiku-4.5,ok,0,77.942,True,0,0,0,True
berry-3,tier4,openrouter_anthropic_claude-opus-4.7,ok,1,124.306,True,1,1,1,True
berry-3,tier4,openrouter_anthropic_claude-sonnet-4.6,ok,1,175.598,True,0,0,0,True
berry-4,tier1,openrouter_google_gemini-2.5-flash,ok,0,15.426,True,1,0,0,True
berry-4,tier1,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,309.323,True,0,0,0,True
berry-4,tier1,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.118,False,0,0,0,True
berry-4,tier1,openrouter_openai_gpt-4o,ok,0,24.135,True,0,0,0,True
berry-4,tier1,openrouter_openai_gpt-5.5,ok,0,50.773,True,1,1,0,True
berry-4,tier1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,99.407,True,0,0,0,True
berry-4,tier2,openrouter_google_gemini-2.5-flash,ok,0,51.523,True,0,0,0,True
berry-4,tier2,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,31.835,True,0,0,0,True
berry-4,tier2,openrouter_nvidia_nemotron-3-nano-30b-a3b,ok,0,77.683,True,0,0,0,True
berry-4,tier2,openrouter_openai_gpt-4o,ok,0,32.22,True,0,0,0,True
berry-4,tier2,openrouter_openai_gpt-5.5,ok,0,100.1,True,1,1,1,True
berry-4,tier2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,436.154,True,0,0,0,True
berry-4,tier3,openrouter_google_gemini-2.5-flash,ok,0,38.48,True,0,0,0,True
berry-4,tier3,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,7.501,True,0,0,0,True
berry-4,tier3,openrouter_nvidia_nemotron-3-nano-30b-a3b,no_collect,-9,38.888,False,0,0,0,True
berry-4,tier3,openrouter_openai_gpt-4o,ok,0,12.017,True,0,0,0,True
berry-4,tier3,openrouter_openai_gpt-5.5,ok,0,408.676,True,1,0,0,True
berry-4,tier3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,138.26,True,0,0,0,True
berry-4,tier4,openrouter_anthropic_claude-haiku-4.5,ok,0,124.891,True,1,1,1,True
berry-4,tier4,openrouter_anthropic_claude-opus-4.7,ok,0,31.03,True,1,1,1,True
berry-4,tier4,openrouter_anthropic_claude-sonnet-4.6,ok,0,88.835,True,1,1,1,True
berry-5,tier1,openrouter_google_gemini-2.5-flash,ok,0,31.862,True,0,0,0,True
berry-5,tier1,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,38.004,True,0,0,0,True
berry-5,tier1,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.088,False,0,0,0,True
berry-5,tier1,openrouter_openai_gpt-4o,ok,0,46.367,True,0,0,0,True
berry-5,tier1,openrouter_openai_gpt-5.5,ok,0,99.257,True,1,1,1,True
berry-5,tier1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,timeout,-1,600.089,False,0,0,0,True
berry-5,tier2,openrouter_google_gemini-2.5-flash,ok,0,113.118,True,0,0,0,True
berry-5,tier2,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,13.236,True,0,0,0,True
berry-5,tier2,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.054,False,0,0,0,True
berry-5,tier2,openrouter_openai_gpt-4o,ok,0,318.273,True,0,0,0,True
berry-5,tier2,openrouter_openai_gpt-5.5,ok,0,228.353,True,0,0,0,True
berry-5,tier2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,308.493,True,0,0,0,True
berry-5,tier3,openrouter_google_gemini-2.5-flash,ok,0,22.474,True,0,0,0,True
berry-5,tier3,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,32.679,True,0,0,0,True
berry-5,tier3,openrouter_nvidia_nemotron-3-nano-30b-a3b,ok,0,151.406,True,0,0,0,True
berry-5,tier3,openrouter_openai_gpt-4o,ok,0,15.02,True,0,0,0,True
berry-5,tier3,openrouter_openai_gpt-5.5,no_collect,1,130.143,False,0,0,0,True
berry-5,tier3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,88.009,True,0,0,0,True
berry-5,tier4,openrouter_anthropic_claude-haiku-4.5,ok,0,259.188,True,0,0,0,True
berry-5,tier4,openrouter_anthropic_claude-opus-4.7,ok,1,114.823,True,0,0,0,True
berry-5,tier4,openrouter_anthropic_claude-sonnet-4.6,ok,1,329.306,True,0,0,0,True
