run_id,case_id,model,tool_config,context_lines,tier,trial,status,elapsed_s,exit_code,root_cause,local_fix,global_fix,judge_status,judge_model,mut_input_tokens,mut_output_tokens,num_tool_calls,tool_frequency_json,total_code_length
berry-1__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,berry-1,openrouter/google/gemini-2.5-flash,tier1_bash_only.json,10,1,1,ok,145.052,0,0,0,0,ok,openrouter/openai/gpt-4o,747242,4941,100,"{""berry"": 89, ""cat"": 2, ""find"": 1, ""grep"": 8}",0
berry-1__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,berry-1,openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,10,1,1,timeout,540.789,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,berry-1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,540.759,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,berry-1,openrouter/openai/gpt-4o,tier1_bash_only.json,10,1,1,ok,316.042,0,0,0,0,ok,openrouter/openai/gpt-4o,1393053,18581,96,"{""berry"": 1, ""find"": 1, ""cat"": 3, ""grep"": 4, ""echo"": 87}",0
berry-1__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,berry-1,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,540.845,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,berry-1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,timeout,540.822,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier3__openrouter_google_gemini-2.5-flash__tier3_gdb_only__ctx10__t1,berry-1,openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,10,3,1,ok,62.284,0,0,0,0,ok,openrouter/openai/gpt-4o,9874,2625,65,"{""code"": 5, ""b"": 7, ""r"": 5, ""p"": 34, ""up"": 1, ""d"": 1, ""del"": 5, ""bt"": 2, ""x/i"": 2, ""n"": 1, ""run"": 2}",484
berry-1__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,berry-1,openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,10,3,1,ok,31.027,0,0,0,0,ok,openrouter/openai/gpt-4o,3948,385,4,"{""bt"": 1, ""code"": 1, ""print"": 2}",1819
berry-1__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,berry-1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,no_collect,62.944,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,berry-1,openrouter/openai/gpt-4o,tier3_gdb_only.json,10,3,1,ok,38.808,0,0,0,0,ok,openrouter/openai/gpt-4o,2431,880,6,"{""info"": 1, ""code"": 5}",257
berry-1__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,berry-1,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,no_collect,41.588,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,berry-1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,no_collect,32.546,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-2__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,berry-2,openrouter/google/gemini-2.5-flash,tier1_bash_only.json,10,1,1,ok,24.459,0,0,0,0,ok,openrouter/openai/gpt-4o,28385,1231,6,"{""berry"": 1, ""find"": 1, ""cat"": 2, ""grep"": 1, ""echo"": 1}",0
berry-2__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,berry-2,openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,10,1,1,ok,332.49,0,0,0,0,ok,openrouter/openai/gpt-4o,894345,10493,96,"{""cd"": 8, ""echo"": 88}",0
berry-2__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,berry-2,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,541.126,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-2__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,berry-2,openrouter/openai/gpt-4o,tier1_bash_only.json,10,1,1,ok,344.293,0,0,0,0,ok,openrouter/openai/gpt-4o,2330035,25586,98,"{""berry"": 1, ""find"": 1, ""cat"": 1, ""grep"": 5, ""ls"": 1, ""echo"": 89}",0
berry-2__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,berry-2,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,541.188,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-2__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,berry-2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,429.229,0,0,0,0,ok,openrouter/openai/gpt-4o,896996,5704,99,"{""ls"": 1, ""cat"": 21, ""find"": 7, ""grep"": 14, ""echo"": 56}",0
berry-2__tier3__openrouter_google_gemini-2.5-flash__tier3_gdb_only__ctx10__t1,berry-2,openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,10,3,1,ok,22.144,0,0,0,0,ok,openrouter/openai/gpt-4o,7728,559,5,"{""disassemble"": 1, ""shell"": 3, ""info"": 1}",0
berry-2__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,berry-2,openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,10,3,1,ok,42.173,0,0,0,0,ok,openrouter/openai/gpt-4o,6077,254,19,"{""info"": 5, ""code"": 9, ""print"": 5}",508
berry-2__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,berry-2,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,no_collect,23.64,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-2__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,berry-2,openrouter/openai/gpt-4o,tier3_gdb_only.json,10,3,1,no_collect,23.85,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-2__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,berry-2,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,no_collect,23.474,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-2__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,berry-2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,no_collect,43.449,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-3__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,berry-3,openrouter/google/gemini-2.5-flash,tier1_bash_only.json,10,1,1,ok,317.387,0,0,0,0,ok,openrouter/openai/gpt-4o,2195205,27240,69,"{""berry"": 1, ""find"": 1, ""cat"": 6, ""ls"": 1, ""grep"": 16, ""gdb"": 1, ""echo"": 43}",0
berry-3__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,berry-3,openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,10,1,1,ok,211.451,0,0,0,0,ok,openrouter/openai/gpt-4o,587738,2839,96,"{""cd"": 4, ""find"": 2, ""echo"": 90}",0
berry-3__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,berry-3,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,541.225,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-3__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,berry-3,openrouter/openai/gpt-4o,tier1_bash_only.json,10,1,1,ok,527.511,0,0,0,0,ok,openrouter/openai/gpt-4o,2991281,26320,97,"{""cd"": 10, ""find"": 1, ""echo"": 86}",0
berry-3__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,berry-3,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,541.176,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-3__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,berry-3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,465.023,0,0,0,0,ok,openrouter/openai/gpt-4o,837376,8408,96,"{""ls"": 1, ""cd"": 1, ""find"": 1, ""echo"": 91, ""pwd"": 1, ""if"": 1}",0
berry-3__tier3__openrouter_google_gemini-2.5-flash__tier3_gdb_only__ctx10__t1,berry-3,openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,10,3,1,no_collect,27.192,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-3__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,berry-3,openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,10,3,1,ok,20.297,0,0,0,0,ok,openrouter/openai/gpt-4o,1185,16,0,{},0
berry-3__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,berry-3,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,no_collect,67.226,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-3__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,berry-3,openrouter/openai/gpt-4o,tier3_gdb_only.json,10,3,1,ok,26.234,0,0,0,0,ok,openrouter/openai/gpt-4o,3601,661,10,"{""code"": 5, ""frame"": 2, ""print"": 1, ""break"": 1, ""continue"": 1}",232
berry-3__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,berry-3,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,no_collect,75.824,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-3__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,berry-3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,no_collect,67.24,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,berry-4,openrouter/google/gemini-2.5-flash,tier1_bash_only.json,10,1,1,ok,192.575,0,0,0,0,ok,openrouter/openai/gpt-4o,1274605,8102,200,"{""berry"": 50, ""find"": 48, ""cat"": 48, ""grep"": 6, ""ls"": 1, ""echo"": 47}",0
berry-4__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,berry-4,openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,10,1,1,ok,350.221,0,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,berry-4,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,540.897,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,berry-4,openrouter/openai/gpt-4o,tier1_bash_only.json,10,1,1,ok,138.689,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-4o,499291,2234,101,"{""berry"": 1, ""find"": 1, ""cat"": 1, ""grep"": 98}",0
berry-4__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,berry-4,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,540.845,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,berry-4,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,339.357,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-4o,623318,3953,98,"{""ls"": 1, ""cd"": 1, ""docker"": 1, ""echo"": 95}",0
berry-4__tier3__openrouter_google_gemini-2.5-flash__tier3_gdb_only__ctx10__t1,berry-4,openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,10,3,1,ok,18.045,0,0,0,0,ok,openrouter/openai/gpt-4o,0,0,4,"{""shell"": 3, ""code"": 1}",0
berry-4__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,berry-4,openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,10,3,1,no_collect,9.551,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,berry-4,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,no_collect,0.408,1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,berry-4,openrouter/openai/gpt-4o,tier3_gdb_only.json,10,3,1,no_collect,19.446,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,berry-4,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,no_collect,17.026,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-4__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,berry-4,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,no_collect,1.252,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,berry-5,openrouter/google/gemini-2.5-flash,tier1_bash_only.json,10,1,1,ok,44.436,0,0,0,0,ok,openrouter/openai/gpt-4o,211898,2286,11,"{""berry"": 1, ""find"": 1, ""cat"": 3, ""grep"": 5, ""echo"": 1}",0
berry-5__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,berry-5,openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,10,1,1,ok,360.211,0,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,berry-5,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,540.869,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,berry-5,openrouter/openai/gpt-4o,tier1_bash_only.json,10,1,1,ok,311.289,0,0,0,0,ok,openrouter/openai/gpt-4o,1287814,20100,93,"{""cd"": 2, ""find"": 2, ""ls"": 1, ""echo"": 88}",0
berry-5__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,berry-5,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,540.978,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,berry-5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,82.008,0,0,0,0,ok,openrouter/openai/gpt-4o,73096,1415,17,"{""ls"": 1, ""cat"": 7, ""find"": 1, ""grep"": 6, ""gdb"": 1, ""echo"": 1}",0
berry-5__tier3__openrouter_google_gemini-2.5-flash__tier3_gdb_only__ctx10__t1,berry-5,openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,10,3,1,no_collect,23.466,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,berry-5,openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,10,3,1,no_collect,0.366,1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,berry-5,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,no_collect,0.565,1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,berry-5,openrouter/openai/gpt-4o,tier3_gdb_only.json,10,3,1,ok,22.806,0,0,0,0,ok,openrouter/openai/gpt-4o,3453,405,9,"{""code"": 5, ""info"": 1, ""break"": 1, ""run"": 1, ""continue"": 1}",344
berry-5__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,berry-5,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,no_collect,28.683,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-5__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,berry-5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,no_collect,0.378,1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
