panel	case	tier	model
realworld	bc-heap-overflow	1	openrouter/anthropic/claude-sonnet-4.5
realworld	bc-heap-overflow	1	openrouter/google/gemini-2.5-flash
realworld	bc-heap-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	bc-heap-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	bc-heap-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	bc-heap-overflow	1	openrouter/openai/gpt-5.5
realworld	bc-heap-overflow	3	openrouter/anthropic/claude-sonnet-4.5
realworld	bc-heap-overflow	3	openrouter/google/gemini-2.5-flash
realworld	bc-heap-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	bc-heap-overflow	3	openrouter/openai/gpt-5.5
realworld	bc-heap-overflow	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	berry-1	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-1	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-1	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-1	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-1	3	openrouter/google/gemini-2.5-flash
realworld	berry-1	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-1	3	openrouter/openai/gpt-5.5
realworld	berry-2	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-2	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-2	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-2	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-2	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-2	3	openrouter/openai/gpt-5.5
realworld	berry-3	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-3	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-3	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-3	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-3	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-3	3	openrouter/openai/gpt-5.5
realworld	berry-4	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-4	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-4	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-4	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-4	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-4	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-5	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-5	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-5	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	berry-5	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-5	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-5	3	openrouter/openai/gpt-5.5
realworld	crashbench-abo1	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo1	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo1	1	openrouter/openai/gpt-4o
realworld	crashbench-abo1	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo1	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo1	3	openrouter/openai/gpt-4o
realworld	crashbench-abo2	1	openrouter/anthropic/claude-sonnet-4.5
realworld	crashbench-abo2	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo2	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	crashbench-abo2	1	openrouter/openai/gpt-4o
realworld	crashbench-abo2	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo2	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo2	3	openrouter/openai/gpt-4o
realworld	crashbench-abo3	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo3	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	crashbench-abo3	1	openrouter/openai/gpt-4o
realworld	crashbench-abo3	1	openrouter/openai/gpt-5.5
realworld	crashbench-abo3	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	crashbench-abo3	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo3	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo3	3	openrouter/openai/gpt-4o
realworld	crashbench-abo5	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo5	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	crashbench-abo5	1	openrouter/openai/gpt-4o
realworld	crashbench-abo5	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	crashbench-abo5	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo5	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo5	3	openrouter/openai/gpt-4o
realworld	crashbench-abo7	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo7	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo7	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	crashbench-abo7	1	openrouter/openai/gpt-4o
realworld	crashbench-abo7	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo7	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo7	3	openrouter/openai/gpt-4o
realworld	crashbench-abo8	1	openrouter/anthropic/claude-sonnet-4.5
realworld	crashbench-abo8	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo8	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo8	1	openrouter/openai/gpt-4o
realworld	crashbench-abo8	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo8	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo8	3	openrouter/openai/gpt-4o
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/openai/gpt-4o
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/openai/gpt-4o
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/openai/gpt-4o
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/openai/gpt-4o
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/openai/gpt-4o
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/openai/gpt-4o
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/openai/gpt-4o
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/openai/gpt-4o
realworld	man-overflow	1	openrouter/anthropic/claude-sonnet-4.5
realworld	man-overflow	1	openrouter/google/gemini-2.5-flash
realworld	man-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	man-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	man-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	man-overflow	1	openrouter/openai/gpt-5.5
realworld	man-overflow	3	openrouter/anthropic/claude-sonnet-4.5
realworld	man-overflow	3	openrouter/google/gemini-2.5-flash
realworld	man-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	man-overflow	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	man-overflow	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	man-overflow	3	openrouter/openai/gpt-4o
realworld	man-overflow	3	openrouter/openai/gpt-5.5
realworld	man-overflow	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	ncompress-overflow	1	openrouter/anthropic/claude-sonnet-4.5
realworld	ncompress-overflow	1	openrouter/google/gemini-2.5-flash
realworld	ncompress-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	ncompress-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	ncompress-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	ncompress-overflow	1	openrouter/openai/gpt-4o
realworld	ncompress-overflow	1	openrouter/openai/gpt-5.5
realworld	ncompress-overflow	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	ncompress-overflow	3	openrouter/anthropic/claude-sonnet-4.5
realworld	ncompress-overflow	3	openrouter/google/gemini-2.5-flash
realworld	ncompress-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	ncompress-overflow	3	openrouter/openai/gpt-5.5
realworld	polymorph-overflow	1	openrouter/anthropic/claude-sonnet-4.5
realworld	polymorph-overflow	1	openrouter/google/gemini-2.5-flash
realworld	polymorph-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	polymorph-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	polymorph-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	polymorph-overflow	1	openrouter/openai/gpt-5.5
realworld	polymorph-overflow	3	openrouter/anthropic/claude-sonnet-4.5
realworld	polymorph-overflow	3	openrouter/google/gemini-2.5-flash
realworld	polymorph-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	polymorph-overflow	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	polymorph-overflow	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	polymorph-overflow	3	openrouter/openai/gpt-4o
realworld	polymorph-overflow	3	openrouter/openai/gpt-5.5
realworld	polymorph-overflow	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	cjson-parse-string-oob	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	cjson-parse-string-oob	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	cjson-parse-string-oob	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	cjson-parse-string-oob	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	cjson-parse-string-oob	1	openrouter/openai/gpt-4o
synthetic	cjson-parse-string-oob	1	openrouter/openai/gpt-5.5
synthetic	cjson-parse-string-oob	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	cjson-parse-string-oob	1	openrouter/x-ai/grok-4
synthetic	cjson-parse-string-oob	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	cjson-parse-string-oob	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	cjson-parse-string-oob	3	openrouter/openai/gpt-4o
synthetic	cjson-parse-string-oob	3	openrouter/x-ai/grok-4
synthetic	double-free-errpath	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	double-free-errpath	1	openrouter/openai/gpt-4o
synthetic	double-free-errpath	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	double-free-errpath	3	openrouter/openai/gpt-4o
synthetic	heap-overflow-csv	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	heap-overflow-csv	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	heap-overflow-csv	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	heap-overflow-csv	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	heap-overflow-csv	1	openrouter/openai/gpt-4o
synthetic	heap-overflow-csv	1	openrouter/x-ai/grok-4
synthetic	heap-overflow-csv	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	heap-overflow-csv	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	heap-overflow-csv	3	openrouter/openai/gpt-4o
synthetic	heap-overflow-csv	3	openrouter/x-ai/grok-4
synthetic	intoverflow-alloc	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	intoverflow-alloc	1	openrouter/openai/gpt-4o
synthetic	intoverflow-alloc	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	intoverflow-alloc	3	openrouter/openai/gpt-4o
synthetic	null-deref-env	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	null-deref-env	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	null-deref-env	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	null-deref-env	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	null-deref-env	1	openrouter/openai/gpt-4o
synthetic	null-deref-env	1	openrouter/x-ai/grok-4
synthetic	null-deref-env	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	null-deref-env	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	null-deref-env	3	openrouter/openai/gpt-4o
synthetic	null-deref-env	3	openrouter/x-ai/grok-4
synthetic	off-by-one-crc	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	off-by-one-crc	1	openrouter/openai/gpt-4o
synthetic	off-by-one-crc	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	off-by-one-crc	3	openrouter/openai/gpt-4o
synthetic	shift-int-overflow	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	shift-int-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	shift-int-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	shift-int-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	shift-int-overflow	1	openrouter/openai/gpt-4o
synthetic	shift-int-overflow	1	openrouter/openai/gpt-5.5
synthetic	shift-int-overflow	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	shift-int-overflow	1	openrouter/x-ai/grok-4
synthetic	shift-int-overflow	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	shift-int-overflow	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	shift-int-overflow	3	openrouter/openai/gpt-4o
synthetic	shift-int-overflow	3	openrouter/x-ai/grok-4
synthetic	signed-unsigned-loop	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	signed-unsigned-loop	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	signed-unsigned-loop	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	signed-unsigned-loop	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	signed-unsigned-loop	1	openrouter/openai/gpt-4o
synthetic	signed-unsigned-loop	1	openrouter/x-ai/grok-4
synthetic	signed-unsigned-loop	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	signed-unsigned-loop	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	signed-unsigned-loop	3	openrouter/openai/gpt-4o
synthetic	signed-unsigned-loop	3	openrouter/x-ai/grok-4
synthetic	stack-buffer-overflow-strcpy	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	stack-buffer-overflow-strcpy	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	stack-buffer-overflow-strcpy	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	stack-buffer-overflow-strcpy	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	stack-buffer-overflow-strcpy	1	openrouter/openai/gpt-4o
synthetic	stack-buffer-overflow-strcpy	1	openrouter/openai/gpt-5.5
synthetic	stack-buffer-overflow-strcpy	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	stack-buffer-overflow-strcpy	1	openrouter/x-ai/grok-4
synthetic	stack-buffer-overflow-strcpy	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	stack-buffer-overflow-strcpy	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	stack-buffer-overflow-strcpy	3	openrouter/openai/gpt-4o
synthetic	stack-buffer-overflow-strcpy	3	openrouter/x-ai/grok-4
synthetic	test-deep-recursion	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-deep-recursion	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-deep-recursion	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-deep-recursion	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-deep-recursion	1	openrouter/openai/gpt-4o
synthetic	test-deep-recursion	1	openrouter/openai/gpt-5.5
synthetic	test-deep-recursion	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-deep-recursion	1	openrouter/x-ai/grok-4
synthetic	test-deep-recursion	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-deep-recursion	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-deep-recursion	3	openrouter/openai/gpt-4o
synthetic	test-deep-recursion	3	openrouter/x-ai/grok-4
synthetic	test-definition-likely	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-definition-likely	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-definition-likely	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-definition-likely	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-definition-likely	1	openrouter/openai/gpt-4o
synthetic	test-definition-likely	1	openrouter/openai/gpt-5.5
synthetic	test-definition-likely	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-definition-likely	1	openrouter/x-ai/grok-4
synthetic	test-definition-likely	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-definition-likely	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-definition-likely	3	openrouter/openai/gpt-4o
synthetic	test-definition-likely	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-definition-likely	3	openrouter/x-ai/grok-4
synthetic	test-failed-assert	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-failed-assert	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-failed-assert	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-failed-assert	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-failed-assert	1	openrouter/openai/gpt-4o
synthetic	test-failed-assert	1	openrouter/openai/gpt-5.5
synthetic	test-failed-assert	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-failed-assert	1	openrouter/x-ai/grok-4
synthetic	test-failed-assert	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-failed-assert	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-failed-assert	3	openrouter/openai/gpt-4o
synthetic	test-failed-assert	3	openrouter/x-ai/grok-4
synthetic	test-out-of-bounds-read	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-out-of-bounds-read	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-out-of-bounds-read	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-out-of-bounds-read	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-out-of-bounds-read	1	openrouter/openai/gpt-4o
synthetic	test-out-of-bounds-read	1	openrouter/openai/gpt-5.5
synthetic	test-out-of-bounds-read	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-out-of-bounds-read	1	openrouter/x-ai/grok-4
synthetic	test-out-of-bounds-read	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-out-of-bounds-read	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-out-of-bounds-read	3	openrouter/openai/gpt-4o
synthetic	test-out-of-bounds-read	3	openrouter/x-ai/grok-4
synthetic	test-overflow	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-overflow	1	openrouter/openai/gpt-4o
synthetic	test-overflow	1	openrouter/openai/gpt-5.5
synthetic	test-overflow	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-overflow	1	openrouter/x-ai/grok-4
synthetic	test-overflow	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-overflow	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-overflow	3	openrouter/openai/gpt-4o
synthetic	test-overflow	3	openrouter/x-ai/grok-4
synthetic	test-pointers	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-pointers	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-pointers	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-pointers	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-pointers	1	openrouter/openai/gpt-4o
synthetic	test-pointers	1	openrouter/openai/gpt-5.5
synthetic	test-pointers	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-pointers	1	openrouter/x-ai/grok-4
synthetic	test-pointers	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-pointers	3	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-pointers	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-pointers	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-pointers	3	openrouter/openai/gpt-4o
synthetic	test-pointers	3	openrouter/openai/gpt-5.5
synthetic	test-pointers	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-pointers	3	openrouter/x-ai/grok-4
synthetic	test-pointers-loop	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-pointers-loop	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-pointers-loop	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-pointers-loop	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-pointers-loop	1	openrouter/openai/gpt-4o
synthetic	test-pointers-loop	1	openrouter/openai/gpt-5.5
synthetic	test-pointers-loop	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-pointers-loop	1	openrouter/x-ai/grok-4
synthetic	test-pointers-loop	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-pointers-loop	3	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-pointers-loop	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-pointers-loop	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-pointers-loop	3	openrouter/openai/gpt-4o
synthetic	test-pointers-loop	3	openrouter/openai/gpt-5.5
synthetic	test-pointers-loop	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-pointers-loop	3	openrouter/x-ai/grok-4
synthetic	test-stack-overflow	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-stack-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-stack-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-stack-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-stack-overflow	1	openrouter/openai/gpt-4o
synthetic	test-stack-overflow	1	openrouter/openai/gpt-5.5
synthetic	test-stack-overflow	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-stack-overflow	1	openrouter/x-ai/grok-4
synthetic	test-stack-overflow	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-stack-overflow	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-stack-overflow	3	openrouter/openai/gpt-4o
synthetic	test-stack-overflow	3	openrouter/x-ai/grok-4
synthetic	test-use-after-free	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-use-after-free	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	test-use-after-free	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-use-after-free	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	test-use-after-free	1	openrouter/openai/gpt-4o
synthetic	test-use-after-free	1	openrouter/openai/gpt-5.5
synthetic	test-use-after-free	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
synthetic	test-use-after-free	1	openrouter/x-ai/grok-4
synthetic	test-use-after-free	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	test-use-after-free	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	test-use-after-free	3	openrouter/openai/gpt-4o
synthetic	test-use-after-free	3	openrouter/x-ai/grok-4
synthetic	uaf-linked-list	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	uaf-linked-list	1	openrouter/openai/gpt-4o
synthetic	uaf-linked-list	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	uaf-linked-list	3	openrouter/openai/gpt-4o
synthetic	vector-iter-after-pushback	1	openrouter/anthropic/claude-sonnet-4.5
synthetic	vector-iter-after-pushback	1	openrouter/google/gemini-3.1-flash-lite-preview
synthetic	vector-iter-after-pushback	1	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	vector-iter-after-pushback	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
synthetic	vector-iter-after-pushback	1	openrouter/openai/gpt-4o
synthetic	vector-iter-after-pushback	1	openrouter/x-ai/grok-4
synthetic	vector-iter-after-pushback	3	openrouter/anthropic/claude-sonnet-4.5
synthetic	vector-iter-after-pushback	3	openrouter/meta-llama/llama-3.1-8b-instruct
synthetic	vector-iter-after-pushback	3	openrouter/openai/gpt-4o
synthetic	vector-iter-after-pushback	3	openrouter/x-ai/grok-4
